Time;Time Code;Country Name;Country Code;Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG];Multidimensional poverty headcount ratio (% of total population) [SI.POV.MDIM];Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN];Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN];International migrant stock (% of population) [SM.POP.TOTL.ZS];Net migration [SM.POP.NETM]
1960;YR1960;Brazil;BRA;..;..;..;..;..;51401
1960;YR1960;United States;USA;..;..;..;..;..;583458
1961;YR1961;Brazil;BRA;..;..;..;..;..;369
1961;YR1961;United States;USA;..;..;..;..;..;541424
1962;YR1962;Brazil;BRA;..;..;71,1492702853386;15,8595869443941;..;2383
1962;YR1962;United States;USA;..;..;20,6845977204806;23,5529412252051;..;549734
1963;YR1963;Brazil;BRA;..;..;73,75692538064;17,0645100727179;..;1837
1963;YR1963;United States;USA;..;..;21,3708998124771;23,417680770982;..;588381
1964;YR1964;Brazil;BRA;..;..;69,2942091293152;24,1083069403758;..;2787
1964;YR1964;United States;USA;..;..;21,3934532594607;22,2839570188224;..;501115
1965;YR1965;Brazil;BRA;..;..;67,3380646160567;19,8182709605454;..;10232
1965;YR1965;United States;USA;..;..;21,0831048593304;19,6109606737163;..;497365
1966;YR1966;Brazil;BRA;..;..;68,9148590942565;18,8171931179456;..;-6967
1966;YR1966;United States;USA;..;..;21,2681657125;18,7417870407214;..;337814
1967;YR1967;Brazil;BRA;..;..;68,0054225021258;20,0035707116468;..;-268
1967;YR1967;United States;USA;..;..;18,8716334478146;18,2047284590419;..;377776
1968;YR1968;Brazil;BRA;..;..;68,7669676592221;16,3895612554279;..;-6056
1968;YR1968;United States;USA;..;..;16,8940317129741;16,9121852230896;..;502456
1969;YR1969;Brazil;BRA;..;..;64,6203396768154;13,9177561673266;..;-5043
1969;YR1969;United States;USA;..;..;15,0168597935526;15,270191176698;..;669129
1970;YR1970;Brazil;BRA;..;..;63,250158532868;10,9129252819961;..;-3856
1970;YR1970;United States;USA;..;..;15,9994792612271;16,124107249655;..;937473
1971;YR1971;Brazil;BRA;9,0523527170925;..;59,9259809391986;8,89696099442917;..;-14008
1971;YR1971;United States;USA;1,56288701596985;..;16,2803477363861;14,5383669197079;..;914163
1972;YR1972;Brazil;BRA;9,41464258665252;..;62,7107768345501;7,64620521032524;..;-6485
1972;YR1972;United States;USA;4,61182891297302;..;17,8240862861024;13,6801349173059;..;945777
1973;YR1973;Brazil;BRA;11,0551407753012;..;61,7435166047286;10,9172346801696;..;-3826
1973;YR1973;United States;USA;4,34885930532758;..;23,6048800999182;13,7576801708969;..;842220
1974;YR1974;Brazil;BRA;3,50524903349489;..;57,8889466041662;7,58817437415144;..;-6487
1974;YR1974;United States;USA;-5,22342058951114;..;21,0775766513623;11,1839990047221;..;789950
1975;YR1975;Brazil;BRA;1,92229017649829;..;54,08409353435;6,15959481457787;..;-7793
1975;YR1975;United States;USA;-1,29295711962484;..;19,6703409770165;10,8350449084436;..;832170
1976;YR1976;Brazil;BRA;8,27314500953933;..;59,5912497482459;7,85585530225391;..;-15633
